WeekEndDate,Variant,CasesDeath,Number
10/30/2021,BA2121,Deaths,0
10/30/2021,BA4,Cases,0
10/30/2021,BA4,Deaths,0
10/30/2021,BA5,Cases,0
10/30/2021,BA5,Deaths,0
10/30/2021,Other,Cases,5673
10/30/2021,Other,Deaths,96
11/6/2021,All,Cases,502945
11/6/2021,All,Deaths,7570
11/6/2021,B11529,Cases,0
11/6/2021,B11529,Deaths,0
11/6/2021,B16172,Cases,493679
11/6/2021,B16172,Deaths,7431
11/6/2021,BA11,Cases,0
11/6/2021,BA11,Deaths,0
11/6/2021,BA2,Cases,0
11/6/2021,BA2,Deaths,0
11/6/2021,BA2121,Cases,0
11/6/2021,BA2121,Deaths,0
11/6/2021,BA4,Cases,0
11/6/2021,BA4,Deaths,0
11/6/2021,BA5,Cases,0
11/6/2021,BA5,Deaths,0
11/6/2021,Other,Cases,9266
11/6/2021,Other,Deaths,139
11/13/2021,All,Cases,573820
11/13/2021,All,Deaths,7464
11/13/2021,B11529,Cases,0
11/13/2021,B11529,Deaths,0
11/13/2021,B16172,Cases,563453
11/13/2021,B16172,Deaths,7329
11/13/2021,BA11,Cases,0
11/13/2021,BA11,Deaths,0
11/13/2021,BA2,Cases,0
11/13/2021,BA2,Deaths,0
11/13/2021,BA2121,Cases,0
11/13/2021,BA2121,Deaths,0
11/13/2021,BA4,Cases,0
11/13/2021,BA4,Deaths,0
11/13/2021,BA5,Cases,0
11/13/2021,BA5,Deaths,0
11/13/2021,Other,Cases,10367
11/13/2021,Other,Deaths,135
11/20/2021,All,Cases,644098
11/20/2021,All,Deaths,7040
11/20/2021,B11529,Cases,0
11/20/2021,B11529,Deaths,0
11/20/2021,B16172,Cases,630587
11/20/2021,B16172,Deaths,6892
11/20/2021,BA11,Cases,36
11/20/2021,BA11,Deaths,0
11/20/2021,BA2,Cases,0
11/20/2021,BA2,Deaths,0
11/20/2021,BA2121,Cases,0
11/20/2021,BA2121,Deaths,0
11/20/2021,BA4,Cases,0
11/20/2021,BA4,Deaths,0
11/20/2021,BA5,Cases,0
11/20/2021,BA5,Deaths,0
11/20/2021,Other,Cases,13475
11/20/2021,Other,Deaths,147
11/27/2021,All,Cases,597346
11/27/2021,All,Deaths,5330
11/27/2021,B11529,Cases,329
11/27/2021,B11529,Deaths,3
11/27/2021,B16172,Cases,590449
11/27/2021,B16172,Deaths,5268
11/27/2021,BA11,Cases,81
11/27/2021,BA11,Deaths,1
11/27/2021,BA2,Cases,0
11/27/2021,BA2,Deaths,0
11/27/2021,BA2121,Cases,0
11/27/2021,BA2121,Deaths,0
11/27/2021,BA4,Cases,0
11/27/2021,BA4,Deaths,0
11/27/2021,BA5,Cases,0
11/27/2021,BA5,Deaths,0
11/27/2021,Other,Cases,6488
11/27/2021,Other,Deaths,58
12/4/2021,All,Cases,768871
12/4/2021,All,Deaths,8253
12/4/2021,B11529,Cases,4712
12/4/2021,B11529,Deaths,51
12/4/2021,B16172,Cases,760869
12/4/2021,B16172,Deaths,8167
12/4/2021,BA11,Cases,1076
12/4/2021,BA11,Deaths,12
12/4/2021,BA2,Cases,0
12/4/2021,BA2,Deaths,0
12/4/2021,BA2121,Cases,0
12/4/2021,BA2121,Deaths,0
12/4/2021,BA4,Cases,0
12/4/2021,BA4,Deaths,0
12/4/2021,BA5,Cases,0
12/4/2021,BA5,Deaths,0
12/4/2021,Other,Cases,2215
12/4/2021,Other,Deaths,24
12/11/2021,All,Cases,831958
12/11/2021,All,Deaths,8148
12/11/2021,B11529,Cases,44795
12/11/2021,B11529,Deaths,439
12/11/2021,B16172,Cases,765588
12/11/2021,B16172,Deaths,7498
12/11/2021,BA11,Cases,18973
12/11/2021,BA11,Deaths,186
12/11/2021,BA2,Cases,0
